ISO3V10,Country_Standard,EVI,HAZARDS,RESISTANCE,DAMAGE,CCEVI,ENDEVI,HHEVI,AFEVI,WATEVI,CCDEVI,CBDEVI,WINDEVI,DRYEVI,WETEVI,HOTEVI,COLDEVI,SSTEVI,VOLCANOEVI,EARTHQKEVI,TSUNAMIEVI,SLIDESEVI,LANDEVI,DISPEVI,ISOLEVI,RELIEFEVI,LOWEVI,BORDEVI,IMBALEVI,OPENEVI,MIGEVI,ENDEMEVI,INTROEVI,ENDANGEVI,EXTINCTEVI,VEGEVI,VEGLOEVI,FRAGEVI,DEGEVI,RESRVEVI,MPAEVI,FARMEVI,FERTLEVI,PESTCDEVI,BIOTECHEVI,PRDOFEVI,FSHEFEVI,WATEREVI,SULPHEVI,WASTEEVI,TRTMNTEVI,INDUSTEVI,SPILLSEVI,MININGEVI,SANEVI,VEHEVI,POPDNEVI,POPGRTHEVI,TOUREVI,CSTPOPEVI,AGRMTEVI,CONFLTEVI,WIND,DRY,WET,HOT,COLD,SST,VOLCANO,EARTHQK,TSUNAMI,SLIDES,LAND,DISP,ISOL,RELIEF,LOW,BORD,IMBAL,OPEN,MIG,ENDEM,INTRO,ENDANG,EXTINCT,VEG,VEGLO,FRAG,DEG,RESRV,MPA,FARM,FERTL,PESTCD,BIOTECH,PRDOF,FSHEF,WATER,SULPH,WASTE,TRTMNT,INDUST,SPILLS,MINING,SAN,VEH,POPDN,POPGRTH,TOUR,CSTPOP,AGRMT,CONFLT
ASM,American Samoa,446.154,3.308,5.286,6.143,4.875,4,6,5,5,4,6,,7,2,,,3,1,1,7,,6,6,7,1,7,4,7,,6,,7,7,7,,,,,,,7,,,1,1,,,6,,,,1,1,,,7,,5,,,1,,-451.4,6.2,,,5,0,0,17.24,,199,582.915,"4,300",966,100,5,-0.493,,20.101,,35.176,65.327,5,,,,,,,"5,646.21",,,0,"5,531,201.70",,,4.623,,,,0,0,,,308.543,,105.528,,,0
SGP,Singapore,428.261,3.828,4.5,5.7,4.75,3,4,5,5,4,5,1,5,7,1,1,4,1,1,1,1,5,6,2,1,7,2,7,7,7,6,7,7,1,6,4,7,,5,5,7,5,,1,5,1,,7,,1,7,7,1,1,7,7,7,7,7,3,1,125.21,-54.4,105.4,0.719,0,7,0,0,0,0,610,439.344,5,166,100,2,-0.11,"236,340.98",45.902,"4,918.03",63.934,114.754,0,3,0,5.026,,5,0.25,"32,704.92","5,322.95",,0,"70,703.57",2.28,,685.918,,100,373.618,"3,731.34",0,0,701.705,"5,847.54",3.582,"11,600.00","5,848",49,0
NRU,Nauru,421.053,3.591,4.875,5.444,5.083,3,3,5,5,4,5,2,7,7,1,1,3,1,1,1,1,7,7,7,1,7,2,7,,7,1,7,7,1,5,,,,7,,7,1,,1,3,,,7,,,,1,7,1,7,7,7,,7,5,1,178.194,-249.8,222.6,2.034,0,6,0,0,0,0,21,"1,428.57","2,800",61,100,2,-0.519,,190.476,0,47.619,95.238,0,17,,,,0,,"11,200.50",0,,0,"1,149,965.44",,,22.685,,,,0,"14,171",0,52.143,576.19,2.051,,472,25,0
GLP,Guadeloupe,412,3.417,4.429,5.429,4.875,3,4,5,6,5,5,,5,7,,,2,1,1,1,1,5,5,5,1,7,3,7,,5,,2,7,7,,,,,,,7,,,1,5,,,4,,,,,6,,,7,,,,,1,,-58.2,50,,,4,0,0,0,0,"1,706",185.346,518,"1,484",100,3,-0.126,,13.482,,0.586,11.137,4,,,,,,,"1,416.75",,,0,"152,420.11",,,1.395,,,,,261,,,252.737,,,,,0
MAC,Macao Special Administrative Region of China,407.407,3.6,4.714,5,5.5,3,7,5,6,4,5,6,5,7,3,1,5,1,1,1,1,7,7,2,1,7,2,7,,7,,,7,1,,,,,,,,,,1,,,,7,,,,,1,,7,7,,7,,,1,573.054,-59.6,53.6,54.292,20.629,12,0,0,0,0,21,"1,920.95",2,127,100,1,-0.195,,"1,666.67",,,47.619,0,,,,,,,,,,0,,,,203.333,,,,,0,,"2,788.76","21,606.33",,"257,920.64",,,0
BRB,Barbados,402.857,3.2,4.75,5.75,4.3,3,5,5,5,4,5,5,4,7,1,1,1,1,1,1,1,5,5,4,1,7,3,7,,7,6,3,7,7,,,7,,,5,7,,,1,4,,,5,,,,1,7,,,7,3,7,,1,1,414.6,-37.4,72.8,0,0,4,0,0,0,0,430,225.581,350,336,100,3,-0.21,,39.535,"11,627.91",2.326,11.628,2,,,3.721,,,0.84,"7,835.60",,,0,"269,024.23",,,2.767,,,,0,"4,450",,,640.302,0.464,"1,068.61",,71,0
PHL,Philippines,402.128,4.172,2.875,4.727,3.769,5,5,5,6,4,4,2,5,7,1,1,3,6,6,2,7,2,4,5,2,1,2,1,7,1,6,2,3,2,6,7,3,7,5,5,7,4,,5,6,4,2,5,,,4,1,1,7,2,7,7,1,7,1,7,194.998,-57.6,104.2,4.711,5.088,6,714,6,0.12,23,"298,170",113.694,700,"2,954",0,2,0.099,169.289,0.091,"13,482.24",0.154,1.298,0,6,-4,0.671,79,5,3.28,"3,529.42","2,618.10",,1,"33,548.42",29.23,12,2.112,,,21.901,0,0,64.14,2.566,256.561,2.072,7.244,257,80,17
TON,Tonga,400,3.273,5,5.125,4.545,4,3,4,6,4,5,4,6,7,1,1,3,7,3,5,1,5,6,7,1,7,4,4,,3,7,7,7,7,,,,,5,,1,4,,1,2,,,2,,,,1,1,,4,5,6,3,5,4,1,347.447,-105,65.8,1.147,7.673,5,"80,780",3,7.16,0,718,583.565,"3,200","1,033",100,5,-0.059,,5.571,"157,381.62",23.677,13.928,1,,,,,1,,1.086,"2,863.51",,0,"2,110,616.31",,,0.601,,,,0,0,,6.648,141.643,1.863,43.175,136,36,0
VIR,United States Virgin Islands,395.652,2.8,5.286,4.714,5,4,7,4,6,5,5,,4,7,,,2,1,1,1,,6,6,7,1,7,3,1,,7,,3,7,7,,,,,,,,,,1,3,,,7,,,,,1,,,7,,,,,1,,-40.4,106.2,,,4,0,0,0,,349,538.682,"2,080",521,100,4,0.049,,343.84,,2.865,42.98,3,,,,,,,,,,0,"914,000.20",,,41.003,,,,,0,,,350.175,,,,,0
LCA,Saint Lucia,393.103,3.2,4.571,5.125,4.875,4,2,5,6,5,5,,6,6,,,2,1,1,1,7,5,5,4,1,7,3,1,,7,,5,7,7,,,6,,,,7,,,1,4,,,2,,,,1,1,,,7,5,,,3,1,,-81,39,,,4,0,0,0,"1,639",610,259.016,340,940,100,3,0.226,,36.066,,6.557,29.508,2,,,1.984,,,,"2,530.90",,,0,"290,728.00",,,0.508,,,,0,0,,,259.308,1.227,,,42,0
FSM,Micronesia (Federated States of),391.892,3.136,5.25,5,4.818,3,7,4,6,4,5,7,4,7,1,1,2,1,1,1,1,5,7,7,1,7,3,1,,5,7,6,7,7,,,,,4,4,7,,,1,,,,,1,7,,1,1,,4,6,5,3,6,5,1,"1,248.65",-48.4,179.4,8.27,1.956,5,0,0,0,0,702,"8,706.55","2,500",791,100,4,0.006,,11.396,"357,549.86",14.245,29.915,3,,,,,10,10,"3,829.61",,,0,,,,,0.415,0,,0,0,,10.058,160.399,1.091,41.785,150,25,0
GUM,Guam,390.323,2.833,4.857,6.143,4.636,3,3,4,6,3,5,4,6,4,1,1,4,1,1,1,1,5,5,7,1,7,4,1,,5,,7,7,7,,,,,,,6,,,1,2,,,3,,,,1,1,,,7,6,7,7,,,354.065,-101,22.4,0,0,7,0,0,0,0,549,228.597,"2,700",406,100,5,0.159,,12.75,,72.86,27.322,5,,,,,,,831.025,,,0,"1,586,659.72",,,0.747,,,,0,0,,,286.989,1.898,"2,177.90",287,,
JPN,Japan,389.362,4.379,2.875,3.636,4.154,5,4,4,4,3,3,5,5,7,3,2,4,7,4,2,6,2,4,4,3,1,2,1,7,1,6,2,2,2,3,5,7,1,4,5,7,5,2,7,7,2,3,6,,,6,3,1,,7,7,3,1,7,1,1,381.175,-70.2,62.2,79.059,34.709,9,"3,567",4,0.93,8,"376,520",77.074,180,"3,780",0,2,0.171,"1,144.94",0.165,"5,686.29",0.183,0.428,0,58,0,3.071,0,7,1.83,"2,199.77","5,019.12",0.171,76,"18,374.43",9.9,21,5.742,,,112.993,68.92,0,,125.529,336.54,0.175,11.775,324,114,0
NLD,Netherlands,387.755,4.452,2.125,3.818,4.769,4,6,5,5,4,3,6,3,7,5,3,6,1,1,1,1,3,4,1,1,2,3,1,7,2,1,2,2,1,6,4,7,1,4,5,7,7,7,7,5,1,5,7,7,3,7,1,1,,7,7,4,7,7,1,1,448.67,-20,47.8,156.322,77.082,14,0,0,0,0,"33,920",86.704,0,328,7,3,0.057,"5,636.00",1.857,0,0.884,0.678,0,5,0,3.435,5,6,1.26,"33,688.88","22,630.75",326.423,136,"61,391.27",1.99,71,15.536,807.04,66.651,633.344,0,0,,172.194,465.389,0.562,288.925,435,230,0
BEL,Belgium,387.234,3.931,2.875,4.727,4.692,4,4,5,5,4,4,4,3,7,5,3,6,1,1,1,1,3,3,1,1,6,4,7,7,2,3,2,2,1,4,4,7,7,5,5,,7,2,7,5,2,5,7,,1,6,1,1,,7,7,3,6,7,1,1,336.961,-22.2,53.2,211.151,79.525,14,0,0,0,0,"30,230",48.329,0,694,65,5,-0.109,"5,764.70",2.018,33.08,0.728,0.827,0,21,0,4.825,65,3,0.11,,"38,302.18",0.327,188,"78,939.53",7.89,75,59.532,,100,157.866,0,0,,142.516,336.123,0.168,209.56,"1,110",211,0
LBN,Lebanon,387.234,3.966,3.25,4.364,4.462,3,6,4,5,4,4,2,5,2,5,3,6,1,1,1,1,4,4,1,3,4,3,1,7,3,4,2,3,1,6,7,3,5,5,5,6,5,,1,4,5,3,7,,,2,1,6,7,7,7,5,4,7,1,6,181.144,-57.2,7.4,167.719,79.837,13,0,0,0,0,"10,230",73.118,0,"3,088",33,3,0.214,787.195,3.812,97.752,0.88,1.466,0,1,-8,0.621,25,1,0.42,506.903,"5,660.22",,0,"263,260.01",33.42,27,8.728,,,5.645,0,253,118.704,95.926,320.821,1.39,66.667,321,74,3
ITA,Italy,385.714,4.065,3.5,3.727,4.462,4,5,4,4,4,3,7,4,4,5,3,5,7,1,2,4,2,3,1,4,5,7,1,7,1,5,2,2,2,4,1,5,6,4,5,7,6,7,7,5,1,3,7,1,1,4,1,1,,7,6,3,5,6,1,1,620.149,-45.2,19.6,149.024,67.238,11,"2,003",1,0.11,3,"294,060",37.945,0,"4,807",55,13,0.117,890.584,0.221,"2,475.69",0.19,0.323,0,20,0,1.644,28,7,1.01,"2,363.73","8,435.11",716.724,273,"69,469.40",4.36,30,6.676,0.007,100,32.594,0,0,,103.856,194.851,0.079,127.673,154,206,0
KIR,Kiribati,385.366,3.32,5.25,4.222,4.417,3,4,5,5,4,5,3,6,7,1,1,4,1,1,1,1,5,7,7,1,7,6,6,,4,5,6,7,1,2,,,,4,7,7,,2,1,3,,,1,,7,,1,1,7,3,5,7,1,5,5,1,234.899,-111.2,53.8,0.18,8.349,7,0,0,0,0,717,"1,594.14","3,250",81,100,9,-0.097,,6.974,"1,394.70",15.342,8.368,0,70,,,,8,0,"1,187.11",,0.002,0,"583,286.95",,,0.134,,0,,0,0,56.336,4.7,122.873,2.353,3.719,108,25,0
IND,India,384.783,3.786,2.875,5,3.846,4,5,5,5,4,3,2,6,7,1,1,3,1,1,2,5,1,2,1,7,1,5,7,5,1,5,2,2,2,4,1,4,7,5,5,6,5,6,6,6,7,3,5,,,,1,1,7,1,7,6,,6,1,7,184.101,-127.6,48.8,20.892,10.291,6,0,1,0.06,4,"2,973,190",10.522,0,"8,598",0,8,-0.223,19.923,0.029,"1,820.27",0.011,0.154,0,21,0,0.829,58,4,4.27,455.237,"5,084.32",24.907,22,"38,718.79",346.82,40,2.181,,,,0,0,242.063,1.364,340.934,1.577,,155,94,22
COK,Cook Islands,382.927,3.074,5.5,4.857,4.364,3,3,4,5,4,5,4,7,6,1,1,2,1,1,1,1,6,6,7,1,7,4,,,6,7,7,7,7,,,,,5,1,7,6,1,1,1,,,2,1,7,,1,1,1,7,4,4,7,4,5,1,296.767,-152.4,34,1.99,6.444,4,0,0,0,0,240,500,"2,200",652,100,5,,,20.833,"283,333.33",70.833,45.833,63,,,,,1,42,"17,500.87","12,816.67",0,0,"4,196,615.14",,,0.333,0.108,5,,0,0,1.592,32.717,74.167,1,247.222,80,22,0
MDV,Maldives,382.759,3.188,5.143,4.429,4.9,3,5,5,7,4,5,3,6,7,1,3,4,1,1,1,1,6,7,5,1,7,3,5,,7,,3,7,1,,,,,,,,,,1,5,,,5,,,,,1,,,7,,7,,4,1,220.251,-105,71.2,5.215,64.246,7,0,0,0,0,300,"2,146.67",500,2,100,3,-0.078,,43.333,,3.333,10,0,,,,,,,,,,0,"142,087.59",,,3.233,,,,,0,,,"1,035.88",,"1,434.44",,38,0
VGB,British Virgin Islands,381.818,3.2,6.167,2.857,5.429,3,6,3,6,6,4,,5,7,,,2,1,1,1,,6,6,7,,7,4,1,,7,,1,7,0,,,,,,,,,,1,,,,6,,,,,1,,,5,,,,7,1,,-51.8,47.6,,,4,0,0,0,,150,533.333,"2,080",,100,5,0.005,,153.333,,0,86.667,,,,,,,,,,,0,,,,5.133,,,,,0,,,138.747,,,,1,0
JAM,Jamaica,380.851,3.241,4.5,5,3.615,3,4,4,5,4,5,1,7,2,1,1,2,1,1,3,1,4,4,5,2,7,5,3,7,2,7,2,7,7,4,7,6,7,5,1,7,4,,1,3,2,1,7,,,3,1,7,5,4,6,3,5,6,1,1,89.079,-312.4,6.6,0,0,4,0,0,1.12,0,"10,830",82.641,640,"2,256",100,8,-0.034,367.867,2.216,"92,243.77",0.739,22.161,1,36,-7,1.754,100,0,146.28,"1,398.09","2,150.51",,0,"496,338.07",9.17,10,9.335,,,14.339,0,957,26.235,9.779,238.504,0.488,107.295,239,68,0
PYF,French Polynesia,380.645,3.111,4,5.429,4.091,3,2,4,6,4,5,3,6,7,1,1,3,1,1,3,7,4,6,7,2,5,3,7,,1,,5,7,7,,,,,,,6,,,1,2,,,2,,,,1,1,,,4,6,4,4,,,253.28,-96.4,56.4,0.308,1.753,5,0,0,1.19,546,"3,660",689.891,"6,100","2,241",60,3,-0.204,,1.366,,9.016,28.962,20,,,,,,,"1,035.79",,,0,"2,487,580.49",,,0.522,,,,0,0,,,68.306,1.765,59.381,69,,
ISR,Israel,380,3.556,3.375,5,4.615,3,6,4,4,4,4,3,4,2,4,1,5,1,1,1,1,4,4,1,2,5,5,6,7,2,4,4,3,3,7,4,3,1,2,5,6,5,,1,6,2,6,7,,,2,,1,,7,7,6,5,7,1,7,224.817,-40.6,7.8,133.364,9.186,11,0,0,0,0,"20,620",59.263,0,"1,616",57,7,-0.097,"1,882.15",1.988,242.483,3.637,1.94,0,0,0,0.782,0,16,2.06,644.33,"7,629.49",,0,"45,423.98",6.87,90,17.964,,,7.724,,0,,62.713,301.503,1.637,99.927,293,74,10
MNP,Northern Mariana Islands,378.261,1.9,4.857,5.714,5.143,3,1,4,6,4,5,,,,,,4,1,1,1,,5,7,7,1,7,2,7,,5,,,7,7,,,,,,,,,,1,1,,,1,,,,1,1,,,6,,7,6,,1,,,,,,8,0,0,0,,477,"3,106.92","2,800",965,100,1,-0.256,,18.868,,,37.736,2,,,,,,,,,,0,"12,368,417.96",,,0.021,,,,0,0,,,156.419,,"1,050.31",156,,0
PAK,Pakistan,373.333,3.778,3.25,4.182,4.385,3,5,4,6,5,4,5,5,2,3,2,4,1,1,1,4,2,2,1,7,4,4,4,5,1,5,2,2,2,6,7,2,5,,5,,5,5,1,5,7,7,3,,,3,1,4,7,1,6,7,,4,1,7,426.621,-72.6,5.2,61.33,45.6,8,0,0,0,3,"770,880",12.159,0,"8,611",43,5,-0.058,19.039,0.082,522.779,0.019,0.061,0,6,-3,0.33,24,,0.73,,"3,194.27",10.227,0,"75,627.47",154.45,184,0.736,,,14.236,0,47,89.317,1.015,202.993,2.164,,55,89,9
BMU,Bermuda,373.077,2.923,4.714,4.714,5.5,3,7,5,6,5,5,,5,7,,,4,1,1,1,1,6,7,4,1,7,1,3,,7,,7,7,1,,,,,,,6,,,1,2,,,7,,,,1,1,,,7,,,,,1,,-67.4,86.6,,,7,0,0,0,0,59,"1,751.70",230,76,100,0,-0.036,,153.061,,221.088,612.245,0,,,,,,,"1,073.42",,,0,"1,907,173.24",,,10.374,,,,0,0,,,"1,079.98",,,,,0
GBR,United Kingdom of Great Britain and Northern Ireland,372.917,3.833,3,4.182,4,3,5,4,4,3,3,5,3,6,3,3,4,1,1,2,1,2,4,2,1,5,5,6,7,1,4,2,2,2,6,1,5,4,1,5,,6,7,7,4,1,1,7,5,2,7,3,7,,7,6,3,4,6,1,1,436.862,-29.2,38.8,65.142,87.333,8,0,0,0.05,0,"241,600",83.1,30,"1,347",57,8,-0.084,"1,539.09",0.257,70.364,0.195,0.161,0,6,1,1.538,19,20,3.65,,"9,121.59",126.186,212,"164,023.75",0.97,6,12.226,70.522,85.485,284.1,50.72,670,,87.661,243.502,0.234,71.589,240,238,0
KOR,Republic of Korea,372.917,4.032,2.571,3.909,4.385,4,4,5,5,4,3,4,5,7,4,3,5,1,1,1,6,3,4,1,2,1,2,1,7,,5,2,2,1,5,5,4,6,4,5,7,7,7,1,6,4,3,7,,1,6,1,1,1,7,7,4,3,7,1,1,303.945,-74.6,138.8,111.996,63.15,10,0,0,0,10,"98,730",128.796,0,"2,744",0,1,0.095,"1,735.01",,"2,278.94",0.162,0.395,0,17,0,0.881,42,7,1.53,"6,535.72","269,492.52",269.493,0,"35,863.38",27.56,36,33.33,,100,109.314,0,0,0,71.644,474.466,0.913,44.203,474,92,0
