ISO3V10,Country_Standard,EVI,HAZARDS,RESISTANCE,DAMAGE,CCEVI,ENDEVI,HHEVI,AFEVI,WATEVI,CCDEVI,CBDEVI,WINDEVI,DRYEVI,WETEVI,HOTEVI,COLDEVI,SSTEVI,VOLCANOEVI,EARTHQKEVI,TSUNAMIEVI,SLIDESEVI,LANDEVI,DISPEVI,ISOLEVI,RELIEFEVI,LOWEVI,BORDEVI,IMBALEVI,OPENEVI,MIGEVI,ENDEMEVI,INTROEVI,ENDANGEVI,EXTINCTEVI,VEGEVI,VEGLOEVI,FRAGEVI,DEGEVI,RESRVEVI,MPAEVI,FARMEVI,FERTLEVI,PESTCDEVI,BIOTECHEVI,PRDOFEVI,FSHEFEVI,WATEREVI,SULPHEVI,WASTEEVI,TRTMNTEVI,INDUSTEVI,SPILLSEVI,MININGEVI,SANEVI,VEHEVI,POPDNEVI,POPGRTHEVI,TOUREVI,CSTPOPEVI,AGRMTEVI,CONFLTEVI,WIND,DRY,WET,HOT,COLD,SST,VOLCANO,EARTHQK,TSUNAMI,SLIDES,LAND,DISP,ISOL,RELIEF,LOW,BORD,IMBAL,OPEN,MIG,ENDEM,INTRO,ENDANG,EXTINCT,VEG,VEGLO,FRAG,DEG,RESRV,MPA,FARM,FERTL,PESTCD,BIOTECH,PRDOF,FSHEF,WATER,SULPH,WASTE,TRTMNT,INDUST,SPILLS,MINING,SAN,VEH,POPDN,POPGRTH,TOUR,CSTPOP,AGRMT,CONFLT
PRK,Democratic People's Republic of Korea,363.415,3.875,3.143,3.636,4.308,4,4,4,4,4,4,4,4,6,5,4,5,1,1,2,1,3,3,1,2,5,3,7,,,5,1,2,1,4,4,2,4,5,7,7,3,,1,6,,3,7,,,6,,1,,,6,5,1,6,4,1,286.075,-45.8,37.2,178.078,92.233,12,0,0,0.5,0,"120,410",47.189,0,"1,950",56,3,-0.202,,,930.155,0,0.299,0,39,0,0.259,17,3,0,"1,832.13","1,046.43",,0,"54,555.87",,21,8.671,,,142.569,,0,,,199.643,1.294,1.08,185,40,0
HUN,Hungary,362.791,3.846,3.125,3.6,4.417,3,5,5,4,5,3,6,4,5,6,5,,1,1,1,1,3,3,1,1,6,5,,7,1,5,2,2,1,6,1,6,7,4,,7,5,7,1,,,7,7,4,1,4,,1,,6,5,1,6,1,1,1,457.381,-34.2,26.4,308.559,151.552,,0,0,,0,"92,340",23.511,0,936,65,7,,271.464,0.487,411.523,0.379,0.574,0,8,1,2.038,65,7,,"5,929.10","4,536.51",156.482,0,,,104,10.775,43.575,100,39.067,,0,,25.976,108.685,-0.324,168.887,0,132,0
SVN,Slovenia,362.222,3.75,3,3.9,4.1,3,5,4,5,4,4,4,,,4,4,7,1,1,1,1,4,4,1,2,3,3,1,7,2,5,2,6,1,,4,4,7,4,5,7,5,7,1,7,1,1,6,1,,4,1,7,,7,5,3,3,7,1,1,304.832,,,139.271,109.824,17,0,0,0,0,"20,120",68.34,0,"2,864",30,4,0.025,528.38,2.584,"1,093.44",0.099,4.225,0,,0,1,80,6,0.96,"2,999.18","3,654.57",90.5,0,349.26,4.27,3,4.461,0.004,,40.511,0,"1,215",,36.028,98.708,0.132,48.89,294,103,0
FRA,France,361.224,3.806,3.125,3.545,4.308,4,4,4,4,4,4,6,4,7,5,3,5,1,1,1,5,2,2,1,4,5,6,7,7,1,4,2,2,2,5,1,5,2,3,4,7,6,2,7,5,1,3,5,1,2,5,4,1,,7,5,3,5,3,1,1,519.036,-39.4,47.6,167.128,69.944,11,0,0,0,4,"550,100",18.577,0,"4,809",50,10,-0.12,581.314,0.138,250.863,0.115,0.178,0,17,1,1.624,9,14,7.28,"2,801.06","9,272.16",0.2,539,"74,974.58",3.62,23,2.669,0.001,88.933,65.139,136.43,0,,46.933,107.399,0.373,132.45,43,266,0
CHN,China,359.574,3.69,3.375,3.636,3.846,3,5,4,5,4,3,2,4,5,5,3,5,1,2,1,3,1,1,1,7,4,7,3,5,1,5,2,2,2,4,5,1,6,4,5,7,5,,1,7,7,2,6,1,,4,,3,7,1,5,4,1,5,1,5,200.279,-42.8,31,210.913,70.823,10,0,2,0,1,"9,326,410",5.593,0,"8,696",37,19,-0.033,17.88,0.01,"1,972.03",0.004,0.041,0,22,0,0.164,35,6,0.77,"4,610.50","3,846.25",,0,"14,117.83",402.31,19,3.704,1.061,,48.63,,9,104.107,0.411,136.983,0.894,2.979,102,81,1
KNA,Saint Kitts and Nevis,359.259,3.071,5.286,3.286,5.125,3,2,4,6,5,4,,5,7,,,3,1,1,1,1,6,6,7,1,7,3,1,,7,,1,7,1,,,,,,,7,,,1,2,,,2,,,,1,7,,,6,,,,4,1,,-63.6,60.2,,,5,0,0,0,0,261,517.241,"2,100","1,156",100,4,0.063,,88.123,,0,22.989,0,,,,,,,"1,207.53",,,0,"3,130,180.18",,,0.498,,,,0,"595,771",,,148.49,,,,39,0
TUV,Tuvalu,358.974,2.609,5.625,4.667,4.5,3,3,3,5,3,5,3,4,4,1,1,3,1,1,1,1,7,6,7,1,7,3,1,,7,7,7,7,1,4,,,,5,4,,1,,1,1,,,2,,7,,1,1,,5,7,5,3,7,4,1,221.059,-33,21.4,3.894,3.062,5,0,0,0,0,26,926.641,"3,300",5,100,3,0.12,,154.44,"38,461.54",115.385,115.385,0,29,,,,0,6,,38.462,,0,"10,004,102.50",,,0.386,,0,,0,0,,12.885,392.308,1.412,38.462,437,32,0
MUS,Mauritius,357.576,2.778,4,5.222,4.455,3,6,4,6,4,4,3,5,7,1,1,2,1,1,1,1,5,4,6,1,7,2,1,,3,,6,7,7,,,4,,,,6,,,1,3,,,6,,,,1,2,,,7,,7,7,1,1,234.505,-71.6,60.2,1.893,2.571,4,0,0,0,0,"1,850",95.676,"1,400",828,100,1,0.211,,4.865,,12.432,73.514,23,,,1.032,,,,912.972,,,0,"759,406.60",,,4.254,,,,0,2,,,643.149,,"66,035.00",643,75,0
DEU,Germany,357.143,3.742,2.875,3.818,4.154,3,5,4,4,4,3,4,3,5,7,3,6,1,1,1,1,2,3,1,2,5,6,4,7,1,3,2,2,2,4,4,6,6,1,3,1,6,7,7,5,1,4,7,1,2,6,7,1,,7,6,3,3,3,1,1,357.385,-20.6,31,585.404,86.307,15,0,0,0,0,"349,270",20.743,0,"2,965",60,10,-0.05,"1,600.01",0.209,17.179,0.115,0.192,0,26,0,1.879,31,27,12.71,1.012,"8,632.29",71.993,120,"101,922.55",1.07,43,10.319,0.179,89.777,118.375,275.94,0,,117.703,235.405,0.28,50.209,34,251,0
VNM,Viet Nam,356.818,3.593,3,4.3,4.231,4,4,4,6,4,3,4,5,7,2,1,4,1,1,1,5,2,3,1,3,5,3,1,7,1,6,,2,1,5,6,2,7,5,5,,5,,1,5,7,2,2,,,4,1,1,7,,7,5,1,6,2,5,293.038,-57.6,51.6,32.723,16.244,7,0,0,0,6,"325,490",49.304,0,"3,143",53,3,0.111,41.368,0.138,"4,153.74",,0.704,0,17,-1,0.287,78,3,0.16,,"4,558.09",,0,"70,619.16",265.58,15,0.595,,,25.407,0,0,193.761,,245.267,1.479,5.384,203,58,1
SYC,Seychelles,354.545,2.842,4.429,4.75,4.545,3,4,4,5,4,4,5,5,7,1,4,1,1,1,1,1,5,6,5,1,7,1,1,,6,,4,7,7,,,,,,,7,,,1,2,,,4,,,,1,1,,,6,3,7,6,1,1,365.111,-61.2,88.2,0.105,122.293,3,0,0,0,0,455,"1,079.12",475,905,100,0,0.44,,30.769,,4.396,151.648,9,,,,,,,"4,158.46",,,0,"2,209,047.39",,,1.328,,,,0,0,,,175.198,0.49,280.586,175,64,0
CRI,Costa Rica,354.167,3.733,2.875,3.545,3.615,4,4,4,5,4,3,4,7,7,1,1,2,7,1,2,7,3,3,1,3,4,2,1,7,1,6,2,4,1,4,7,3,7,3,1,6,5,7,1,4,,1,2,3,,2,7,1,4,3,4,6,2,4,1,5,284.03,-305.4,46.6,1.136,4.268,4,"2,174",1,0.48,157,"51,060",53.036,0,"3,810",43,2,0.152,91.402,0.666,"20,348.61",0.294,2.996,0,35,-3,0.703,100,14,21.03,722.655,"3,184.69",185.206,0,"277,941.01",,5,0.499,6.873,,5.438,"28,032.90",0,12.606,6.382,78.79,1.684,20.114,79,69,1
POL,Poland,354.167,3.7,2.75,3.818,4,3,5,4,4,4,4,4,3,5,6,5,7,1,1,1,1,2,2,1,2,6,5,7,7,1,3,2,2,1,4,1,5,7,4,5,7,5,6,1,6,2,3,7,,3,6,1,1,,6,5,1,4,3,1,1,322.726,-26.4,30.2,289.673,183.95,17,0,0,0,0,"304,420",12.548,0,"2,501",67,8,-0.316,152.313,0.21,9.855,0.102,0.128,0,22,0,1.252,83,9,2.42,"6,272.89","5,780.59",23.217,0,"52,215.82",8.89,22,13.214,,76.111,120.577,0,0,,26.614,127.341,-0.031,59.271,51,160,0
AZE,Azerbaijan,354.054,3.6,3.375,3.7,4.364,3,5,4,4,5,3,,4,3,,,7,1,1,1,7,3,3,1,3,6,5,,6,1,5,1,2,1,4,4,2,7,4,,3,2,,1,,,7,5,,,5,,1,,2,5,3,,3,5,7,,-31.2,10.6,,,19,0,1,,12,"86,600",23.245,0,"4,457",61,7,,21.94,0.624,"2,771.36",0,0.427,0,32,0,0.316,56,6,,29.658,312.818,,0,,,204,3.023,,,63.17,,0,,3.215,89.307,0.296,,50,24,6
GRC,Greece,353.061,3.774,3.25,3.091,4.077,3,4,4,4,4,3,4,5,6,4,2,6,5,1,2,1,3,4,1,2,4,5,1,7,1,6,2,2,1,5,1,4,6,5,5,6,5,2,5,5,1,2,6,2,7,3,5,1,,5,4,3,4,4,1,1,332.147,-58,35.6,92.057,42.984,12,186,1,0.26,0,"128,900",127.036,0,"2,917",39,7,0.125,198.611,0.45,"5,857.25",0.178,0.458,0,17,2,0.908,48,4,2.62,775.764,"4,039.53",0.07,19,"143,099.42",1.47,13,5.661,2.194,0,18.407,198.06,0,,18.357,82.32,0.21,88.189,82,147,0
ESP,Spain,352.083,3.767,3,3.273,4,3,3,4,4,4,3,4,5,7,4,2,4,1,1,1,4,2,2,1,3,5,5,1,7,1,5,2,2,2,5,4,5,6,4,5,7,5,2,7,6,3,3,5,,1,4,1,1,,6,4,3,5,4,1,1,341.749,-49.4,45.4,146.624,41.532,8,0,0,0,2,"499,440",18.392,0,"3,718",50,7,0.03,285.276,0.142,"1,932.16",0.084,0.2,0,15,0,1.329,38,8,2.5,"4,438.56","4,719.63",0.068,181,"25,539.95",11.52,32,3.091,,100,20.566,0,0,,29.835,79.349,0.103,92.352,54,207,0
TUR,Turkey,351.064,3.586,3.25,3.545,3.769,3,4,4,5,4,3,3,4,6,5,3,6,1,3,2,1,2,2,1,4,3,7,1,7,1,6,2,2,1,5,4,3,7,5,4,,4,6,1,6,1,2,5,,,3,1,7,4,3,4,5,1,3,1,7,265.612,-44.2,41.6,157.715,81.549,13,3,3,0.12,0,"769,630",14.017,0,"5,166",24,15,0.167,73.459,0.09,"3,491.29",0.057,0.105,0,11,0,0.501,99,1,8.47,,"2,500.80",43.385,0,"53,838.89",4.13,18,2.301,,,12.066,0,528,17.305,4.759,86.523,1.26,11.573,50,90,11
CXR,Christmas Island,350.000,2.444,5,3.143,4.444,3,1,4,5,6,5,,7,7,,,2,1,1,1,,6,6,6,1,7,2,1,,7,,,7,7,,,,,,,,,,1,,,,1,,,,,1,,,2,,,2,,1,,-169,171.6,,,4,0,0,0,,135,592.593,"1,013",361,100,2,0.181,,37.037,,,59.259,15,,,,,,,,,,0,,,,0.074,,,,,0,,,20.526,,,21,,0
SYR,Syrian Arab Republic,350.000,3.714,2.25,3.909,4.308,3,5,4,6,5,4,6,3,3,4,2,6,1,1,1,1,2,2,1,3,2,4,1,6,1,3,2,2,2,7,7,2,7,7,7,1,4,,1,6,,7,5,,,4,1,5,5,1,4,7,1,7,1,5,577.829,-24.8,15.8,113.601,35.303,13,0,0,0,0,"183,780",13.413,0,"3,014",12,6,0.218,27.707,0.267,21.765,0.071,0.098,0,0,-2,0.227,60,0,0,0.734,"2,042.81",,0,"45,278.71",,206,1.914,,,34.618,0,64,28.954,0.877,87.741,2.595,4.497,262,65,1
VCT,Saint Vincent and the Grenadines,350.000,2.714,4.429,4.5,4.875,3,2,5,7,5,4,,6,7,,,2,1,1,1,1,6,5,4,1,5,3,3,,7,,3,7,1,,,7,,,,7,,,1,4,,,2,,,,1,1,,,7,,,,3,1,,-100,62.2,,,4,0,0,0,0,389,215.938,300,966,50,3,-0.034,,56.555,,2.571,30.848,0,,,2.674,,,,"2,538.61",,,0,"291,415.90",,,0.54,,,,0,0,,,298.051,,,,43,0
SLV,El Salvador,347.826,3.464,2.75,4.364,3.769,3,4,4,5,4,3,6,2,4,1,1,2,7,1,1,1,4,4,1,2,3,2,1,7,1,5,2,3,1,6,7,2,7,5,5,7,5,,1,4,,1,4,,,4,1,1,5,4,7,6,2,7,2,5,466.111,-11.4,16.4,2.784,1.177,4,"6,998",0,0,0,"20,720",62.79,0,"2,730",25,2,0.428,187.5,1.496,"1,013.51",0.531,1.496,0,10,-3,0.484,95,0,0.3,"4,326.87","4,174.52",,0,"433,100.38",,4,1.342,,,26.209,0,0,30.29,8.784,302.896,1.881,32.095,299,51,1
CHE,Switzerland,347.727,4,2.625,3,3.917,4,3,4,4,4,3,7,5,7,5,4,,1,1,1,7,3,3,1,3,3,4,,7,1,3,2,3,1,3,4,6,1,1,,7,4,6,5,,,1,5,4,1,5,1,1,,7,6,3,7,1,1,1,733.471,-53.6,146.6,229.855,112.348,,0,0,,51,"39,550",46.827,0,"4,391",25,5,,"2,757.60",0.86,25.284,0.405,1.087,0,45,0,1.798,0,26,,"3,936.22","2,896.38",51.372,2,,,7,2.368,26.362,100,51.699,0,0,,86.279,186.751,0.288,278.129,0,172,0
MHL,Marshall Islands,347.500,3.125,4.75,3.667,4.75,4,4,3,5,4,4,4,6,7,3,1,1,1,1,1,1,6,7,7,1,7,3,1,,6,1,1,7,1,1,,,,4,,,7,2,1,1,,,1,,7,,7,1,1,5,7,7,2,7,3,1,301.324,-92.2,54.8,59.085,4.065,3,0,0,0,0,181,"2,043.02","3,500",10,100,4,0.16,,27.579,0,0,27.579,0,88,,,,6,,,"43,022.61",0,0,"35,491,793.80",,,0.112,,27.5,,"5,399.57",0,2.804,14.203,297.849,3.957,29.417,280,46,0
LIE,Liechtenstein,346.154,3.154,3.857,4,4.5,3,3,5,6,4,4,6,,,6,4,,1,1,1,1,6,6,1,2,3,2,,,7,,6,7,1,,,,,,,7,,,1,,,,3,,,,,1,,,6,,7,1,2,1,451.051,,,398.182,121.869,,0,0,,0,160,475,0,"2,169",26,2,,,137.5,,12.5,56.25,0,,,,,,,"1,575.00",,,0,,,,0.75,,,,,0,,,203.3,,375,0,52,0
DNK,Denmark,344.898,3.742,2.875,3.182,4.308,3,4,4,4,4,3,6,2,5,4,3,6,1,1,1,1,3,4,1,1,7,3,2,7,1,3,2,2,1,6,4,5,1,1,5,7,6,7,6,6,1,2,6,6,1,5,1,1,,7,5,3,3,5,1,1,563.306,-16.6,29.2,96.062,75.983,15,0,0,0,0,"42,430",126.891,0,180,100,3,-0.012,"1,366.27",1.391,23.568,0.471,0.471,0,1,0,1.684,0,32,4.88,"28,413.41","9,339.88",123.04,41,"29,322.58",0.9,15,4.088,166.676,100,92.156,0,0,,41.291,124.747,0.308,48.582,125,209,0
IRQ,Iraq,344.186,3.538,2.625,3.8,3.923,3,4,4,4,5,3,7,1,1,2,6,6,1,1,1,1,2,2,1,3,5,4,,,1,3,2,2,1,7,4,1,7,5,7,1,3,,1,7,,7,3,,,4,,7,4,2,3,7,1,5,2,7,"1,520.92",-8.4,1.2,36.52,265.246,15,0,0,0,0,"437,370",8.585,0,"3,600",50,6,,,0.117,9.146,0.034,0.062,0,0,0,0.108,79,0,0,0.136,772.664,,0,"10,137.47",,122,0.904,,,40.6,,"1,403",13.212,1.903,52.85,2.895,0.117,125,51,15
HRV,Croatia,343.478,3.733,2.125,3.667,3.583,3,4,4,5,4,3,5,5,6,4,4,6,1,1,1,1,3,4,1,2,1,4,4,7,1,1,2,2,2,,4,,7,4,5,7,5,7,1,4,2,1,4,1,,4,1,6,,5,4,5,4,2,1,6,432.596,-55,40,141.514,91.887,14,0,0,0,0,"55,920",140.343,0,"1,830",0,5,-0.056,203.898,0.984,0,0.125,0.787,0,,0,,100,7,4.28,"2,303.35","4,151.68",78.908,0,"360,526.69",8.87,2,1.46,0.036,,23.957,0,165,,17.198,79.989,1.213,84.257,30,95,4
HTI,Haiti,343.478,3.036,3.75,4.545,3.615,3,3,4,5,4,4,2,4,5,1,1,2,1,1,1,1,3,4,5,2,3,5,3,6,1,7,2,3,6,6,7,1,7,5,7,7,2,3,1,3,,1,1,,,2,1,5,7,1,7,5,,7,2,1,186.418,-36,25,0,6.022,4,0,0,0,0,"27,560",84.797,600,"2,680",25,7,-0.039,29.354,0.907,"61,175.62",0.145,1.996,0,1,-3,0.151,100,0,0,"2,807.98",297.17,0.759,0,"794,831.32",,8,0.139,,,5.51,0,88,223.748,1.193,298.331,1.406,,297,56,0
CYM,Cayman Islands,343.333,2.647,4.714,4.286,4.5,3,4,4,5,4,5,6,6,5,1,1,2,1,1,1,1,6,6,2,1,7,4,1,,7,,4,7,7,,,,,,,5,,,1,1,,,4,,,,1,1,,,5,,,,7,1,457.98,-126,31.2,0.561,6.187,4,0,0,0,0,259,617.761,2,43,100,5,0.089,,61.776,,3.861,23.166,15,,,,,,,161.817,,,0,"5,976,399.55",,,1.583,,,,0,0,,,137.17,,,,1,0
MSR,Montserrat,341.667,2.667,5.143,3,4.333,3,2,3,4,4,4,,,,,,3,1,1,7,1,6,5,7,1,7,3,1,,7,,,7,1,,,,,,,6,,,1,1,,,2,,,,1,1,,,4,,,,7,1,,,,,,5,0,0,25,0,100,400,"2,100",914,100,4,0.069,,220,,,100,0,,,,,,,"1,008.75",,,0,"3,318,487.93",,,0.6,,,,0,0,,,75.74,,,,1,0
REU,R�union,341.379,2.938,3.857,4.571,4.2,3,5,3,6,4,4,6,7,3,1,1,1,1,1,1,1,5,4,6,3,5,2,1,,2,,2,7,7,,,,,,,7,,,1,4,,,5,,,,,1,,,7,,6,,,1,454.722,-169.8,10.6,3.582,5.751,4,0,0,0,0,"2,502",82.734,"1,450","3,069",50,2,0.507,,3.197,,0.799,16.387,6,,,,,,,"3,748.52",,,0,"193,427.99",,,3.309,,,,,0,,,292.794,,158.673,,,0
TKL,Tokelau,341.379,2.133,5.714,4,4.364,3,1,3,5,3,5,3,3,7,1,1,2,1,1,1,,7,7,7,1,7,4,1,,7,,7,7,1,,,,,,,1,,,1,1,,,1,,,,,1,,,5,,,5,7,1,241.139,-18.8,96.8,0,0,4,0,0,0,,10,"10,100.00","4,000",5,100,5,0.025,,300,,100,300,0,,,,,,,1.3,,,0,"3,685,987.18",,,0,,,,,0,,,144.5,,,145,1,0
WSM,Samoa,341.026,3.087,4.375,3.444,4.167,4,3,4,4,4,4,3,5,7,2,1,3,7,1,5,1,5,4,7,2,7,2,3,,1,7,4,6,1,4,,,,5,,7,5,2,1,4,,,1,,,,1,1,,2,4,1,2,4,4,1,231.445,-74.4,54.2,44.522,29.077,6,"2,807",0,9.93,0,"2,850",141.404,"3,800","1,857",100,1,-0.04,,1.404,"62,807.02",4.211,4.912,0,37,,,,1,,"6,587.37","3,510.00",0.211,0,"322,849.21",,,0.216,,,,0,0,,2.04,62.737,-0.227,29.357,57,38,0
BGD,Bangladesh,340.426,3.448,2,4.636,3.538,3,5,4,5,3,3,3,3,4,1,1,4,1,1,1,1,3,4,1,1,1,2,1,7,1,3,2,2,1,6,5,5,6,5,5,1,6,5,1,6,7,2,4,,,5,1,1,7,4,7,6,,7,2,7,204.644,-18.2,21.2,4.828,6.264,7,0,1,0,0,"130,170",58.016,0,"1,230",0,2,0.031,58.977,0.323,15.365,0.054,0.592,0,8,-1,1.546,27,1,0.54,3.101,"8,736.71",11.142,0,"39,841.72",437.07,14,1.491,,,60.887,0,0,565.555,9.922,992.203,1.607,,544,54,8
PLW,Palau,338.462,2.652,4.875,3.889,3.4,2,3,3,3,2,5,3,,,1,1,3,1,1,1,1,5,7,6,1,7,2,3,,4,7,7,7,7,1,,,,3,,,1,2,1,2,,,1,3,7,,1,1,4,5,3,6,5,3,7,1,230.981,,,2.383,0.933,7,0,0,0,0,458,"3,316.59","1,463",242,100,2,-0.033,,10.917,"24,017.47",41.485,32.751,2,92,,,,11,,,21.834,0.005,0,"1,590,190.89",,,0.028,18.656,0,,0,0,15.161,12.055,44.323,1.737,129.913,42,10,0
